# bpm=135.9992
# duration=219.0803
beat	0.0232	1.0000
beat	0.4644	1.0000
beat	0.9056	1.0000
beat	1.3468	1.0000
kick	1.3468	2.1163
snare	1.3468	2.4465
hat	1.3468	1.8452
onset	1.3468	2.7519
snare	1.7647	1.4166
beat	1.7879	1.0000
kick	1.7879	2.3693
onset	1.7879	0.6401
beat	2.2059	1.0000
snare	2.2059	1.4582
hat	2.2059	0.5599
onset	2.2059	1.3926
kick	2.2291	1.2320
hat	2.4381	0.6002
kick	2.5542	0.4213
beat	2.6471	1.0000
kick	2.6471	1.5322
snare	2.6471	1.7192
hat	2.6471	1.0010
onset	2.6471	1.7060
snare	2.7632	2.0366
hat	2.7632	0.9355
snare	2.8561	1.4334
hat	2.8561	0.8001
snare	2.9722	1.9780
hat	2.9722	1.0498
snare	3.0883	2.0958
hat	3.0883	1.0781
beat	3.1115	1.0000
hat	3.2972	0.5328
beat	3.5062	1.0000
snare	3.5062	1.7287
hat	3.5062	1.1068
onset	3.5062	1.7859
kick	3.5294	2.0652
snare	3.7384	0.8217
hat	3.7384	0.8163
beat	3.9474	1.0000
kick	3.9474	1.3706
snare	3.9474	1.6401
hat	3.9474	1.1976
onset	3.9474	1.9353
hat	4.1796	0.9257
beat	4.3886	1.0000
kick	4.3886	1.6322
snare	4.3886	1.7699
hat	4.3886	1.4838
onset	4.3886	2.0227
snare	4.5976	2.0877
hat	4.5976	1.1931
snare	4.8298	0.9540
hat	4.8298	0.5842
beat	4.8762	1.0000
hat	5.0387	0.6913
beat	5.2477	1.0000
snare	5.2477	1.9681
hat	5.2477	1.3292
onset	5.2477	2.1310
kick	5.2709	1.4664
snare	5.4799	0.8317
hat	5.4799	0.9005
beat	5.6889	1.0000
kick	5.6889	1.6427
snare	5.6889	1.7054
hat	5.6889	1.2946
onset	5.6889	1.9091
hat	5.9211	0.6840
beat	6.1301	1.0000
kick	6.1301	1.7523
snare	6.1301	1.8143
hat	6.1301	1.4723
onset	6.1301	2.1253
snare	6.2229	1.2153
hat	6.2229	0.7515
snare	6.3390	1.9171
hat	6.3390	1.1660
snare	6.4551	2.0789
hat	6.4551	1.2797
snare	6.5480	1.0720
hat	6.5480	0.7610
beat	6.6409	1.0000
hat	6.7802	0.8310
beat	6.9892	1.0000
kick	6.9892	1.2947
snare	6.9892	2.1113
hat	6.9892	1.3539
onset	6.9892	2.2787
snare	7.2214	0.7358
hat	7.2214	0.9907
beat	7.4304	1.0000
kick	7.4304	1.7490
snare	7.4304	1.7416
hat	7.4304	1.3303
onset	7.4304	1.9647
beat	7.8716	1.0000
kick	7.8716	1.9093
snare	7.8716	1.8539
hat	7.8716	1.3552
onset	7.8716	2.1902
snare	8.0805	2.1795
hat	8.0805	1.2097
snare	8.2895	1.8438
hat	8.2895	1.0412
beat	8.4056	1.0000
hat	8.5217	0.8911
kick	8.7307	1.6833
snare	8.7307	2.1997
hat	8.7307	1.3886
onset	8.7307	2.4101
beat	8.8468	1.0000
snare	8.9629	0.8096
hat	8.9629	0.9235
kick	9.1719	1.8430
snare	9.1719	1.8019
hat	9.1719	1.3151
onset	9.1719	2.0873
beat	9.2880	1.0000
hat	9.5898	0.8351
onset	9.5898	0.9822
kick	9.6131	2.0758
snare	9.6131	0.9421
snare	9.7059	1.6899
hat	9.7059	1.0560
beat	9.7292	1.0000
snare	9.8220	2.0352
hat	9.8220	1.2110
snare	9.9381	1.3653
hat	9.9381	1.0996
snare	10.0310	1.6071
hat	10.0310	0.8860
beat	10.1703	1.0000
hat	10.2632	0.8952
kick	10.4722	2.0136
snare	10.4722	2.2494
hat	10.4722	1.4321
onset	10.4722	2.3830
beat	10.6115	1.0000
snare	10.7044	0.7804
hat	10.7044	0.7400
kick	10.9134	1.8816
snare	10.9134	1.8466
hat	10.9134	1.3471
onset	10.9134	2.1637
beat	11.0527	1.0000
hat	11.1224	0.5713
snare	11.3313	1.1426
hat	11.3313	1.3021
onset	11.3313	1.3392
kick	11.3546	2.3265
beat	11.4939	1.0000
snare	11.5635	2.2296
hat	11.5635	1.2509
snare	11.7725	2.0730
hat	11.7725	1.1297
beat	11.9351	1.0000
hat	12.0047	0.8320
kick	12.2137	2.1245
snare	12.2137	2.1065
hat	12.2137	1.3703
onset	12.2137	2.2521
beat	12.3762	1.0000
snare	12.4459	0.7338
hat	12.4459	0.5189
kick	12.6549	2.0670
snare	12.6549	1.7479
hat	12.6549	1.0339
onset	12.6549	1.8505
beat	12.8174	1.0000
hat	12.8639	0.5847
snare	13.0728	1.3526
hat	13.0728	1.1117
onset	13.0728	1.4047
kick	13.0961	1.9155
snare	13.1889	1.7635
hat	13.1889	1.0140
beat	13.2586	1.0000
snare	13.3050	1.7593
hat	13.3050	1.1299
snare	13.3979	1.0629
hat	13.3979	0.6917
snare	13.5140	1.5593
hat	13.5140	0.8966
beat	13.6998	1.0000
kick	13.9552	1.9538
snare	13.9552	1.3727
hat	13.9552	0.4599
onset	13.9552	1.2218
beat	14.1410	1.0000
hat	14.1874	0.2329
snare	14.3732	0.5574
kick	14.3964	2.1218
onset	14.3964	0.6655
beat	14.5821	1.0000
snare	14.8143	1.1880
kick	14.8376	1.2108
beat	15.0233	1.0000
kick	15.2555	1.9985
snare	15.2555	2.2421
hat	15.2555	1.8561
onset	15.2555	2.7959
beat	15.4413	1.0000
onset	15.4413	0.5560
snare	15.6967	0.6401
onset	15.6967	0.4940
kick	15.7199	0.4506
snare	15.7896	0.5594
beat	15.9057	1.0000
kick	15.9521	0.2355
onset	16.0218	0.3106
kick	16.1379	0.4678
onset	16.1379	0.3082
onset	16.2772	0.2079
kick	16.3236	0.3040
hat	16.3468	0.4668
beat	16.3701	1.0000
onset	16.3701	0.2281
snare	16.5558	0.7550
hat	16.5558	0.5359
kick	16.5790	0.4070
snare	16.6719	1.2215
beat	16.7880	1.0000
hat	16.7880	0.4081
snare	16.9970	0.6097
hat	16.9970	0.5027
onset	16.9970	0.4424
kick	17.0202	0.5342
beat	17.1363	1.0000
onset	17.1363	0.1630
kick	17.2060	0.4914
hat	17.2292	0.3788
kick	17.3453	0.2924
snare	17.4382	0.5920
hat	17.4382	0.5486
onset	17.4382	0.2927
kick	17.4846	0.3210
snare	17.5311	0.5451
hat	17.5543	0.2244
beat	17.6704	1.0000
kick	17.6704	0.4976
snare	17.7633	0.3983
snare	17.8561	0.2599
hat	17.8561	0.5397
kick	17.8794	1.0430
onset	17.8794	0.4809
beat	18.0187	1.0000
onset	18.0187	0.2200
kick	18.0651	0.3789
hat	18.0883	0.6203
kick	18.2044	0.3636
snare	18.2044	0.3894
onset	18.2044	0.2950
hat	18.2973	0.5332
onset	18.2973	0.1774
kick	18.3438	0.6349
snare	18.5063	0.5141
hat	18.5063	0.5571
beat	18.5527	1.0000
kick	18.7385	0.3609
snare	18.7385	0.6361
hat	18.7385	0.5542
onset	18.7385	0.4740
kick	18.8546	0.4728
onset	18.8546	0.2499
hat	18.9707	0.3881
beat	18.9939	1.0000
hat	19.1565	0.5446
onset	19.1797	0.2327
kick	19.2261	0.3282
snare	19.2726	0.6018
kick	19.3190	0.2379
onset	19.3190	0.2940
hat	19.3887	0.5156
beat	19.4351	1.0000
snare	19.5048	0.2680
snare	19.5976	0.4958
hat	19.5976	0.4823
onset	19.5976	0.3183
kick	19.6209	0.7798
kick	19.7137	0.5582
onset	19.7137	0.3054
beat	19.8066	1.0000
onset	19.8066	0.2381
snare	19.8298	0.2719
hat	19.8298	0.6163
snare	20.0388	0.5801
hat	20.0388	0.5027
kick	20.0620	0.5699
onset	20.0620	0.2283
snare	20.1549	0.8662
hat	20.1549	0.4528
beat	20.2478	1.0000
kick	20.2478	0.3891
onset	20.2478	0.3551
hat	20.2710	0.5574
kick	20.4103	0.1996
snare	20.4800	0.6803
hat	20.4800	0.5747
onset	20.4800	0.5663
onset	20.5729	0.5673
kick	20.5961	0.1960
hat	20.6890	0.4594
beat	20.7586	1.0000
snare	20.8051	0.2408
hat	20.8980	0.5617
kick	20.9676	0.2903
onset	20.9676	0.1797
snare	21.0141	0.5676
kick	21.1302	0.2207
hat	21.1302	0.5309
beat	21.2463	1.0000
kick	21.2463	0.3870
onset	21.2463	0.4577
snare	21.3391	0.4778
hat	21.3391	0.5652
kick	21.3624	0.6700
onset	21.4088	0.5310
snare	21.5713	0.4395
hat	21.5713	0.6961
beat	21.6874	1.0000
onset	21.6874	0.2880
snare	21.7803	0.2936
hat	21.7803	0.5348
onset	21.7803	0.2825
kick	21.8035	0.4486
onset	21.8500	0.2428
snare	21.9893	0.7397
hat	21.9893	0.6075
beat	22.0822	1.0000
snare	22.1054	0.2949
onset	22.2215	0.3085
onset	22.2912	0.2156
kick	22.4073	0.6048
onset	22.4073	0.4421
hat	22.4305	0.6536
beat	22.5234	1.0000
snare	22.6395	0.4794
hat	22.6395	0.5647
onset	22.6395	0.3201
kick	22.6627	0.9588
snare	22.7556	0.7470
hat	22.7556	0.2570
onset	22.7788	0.1705
hat	22.8717	0.5603
beat	22.9878	1.0000
onset	22.9878	0.2584
snare	23.0806	0.6086
hat	23.0806	0.5817
onset	23.0806	0.5385
kick	23.1039	0.5338
kick	23.2896	0.5438
snare	23.3128	0.3341
hat	23.3128	0.6349
beat	23.3361	1.0000
onset	23.3361	0.2278
snare	23.5218	0.5947
hat	23.5218	0.5847
onset	23.5218	0.3449
kick	23.5450	0.6667
snare	23.6379	0.7545
hat	23.6379	0.3275
hat	23.7540	0.3221
beat	23.8469	1.0000
hat	23.9398	0.3626
kick	23.9630	0.7914
onset	23.9630	0.3562
onset	24.0327	0.4556
kick	24.1488	0.3394
onset	24.1488	0.2250
snare	24.1720	0.3451
hat	24.1720	0.7075
beat	24.2881	1.0000
snare	24.3810	0.3763
hat	24.3810	0.5011
kick	24.4042	0.3708
onset	24.4042	0.2509
snare	24.4971	1.0567
hat	24.4971	0.2354
hat	24.6132	0.5633
beat	24.8221	1.0000
snare	24.8221	0.9004
hat	24.8221	0.5839
onset	24.8221	0.6296
kick	24.8454	0.4039
onset	24.9150	0.8330
kick	25.0311	0.4301
hat	25.0543	0.4928
beat	25.1704	1.0000
hat	25.2633	0.5499
kick	25.2865	0.5213
onset	25.2865	0.2589
snare	25.4723	0.5935
hat	25.4723	0.7973
beat	25.5420	1.0000
kick	25.5420	0.3494
onset	25.5420	0.2634
snare	25.5884	0.3453
hat	25.6813	0.3627
onset	25.7045	0.1380
kick	25.8902	0.2241
onset	25.8902	0.4550
hat	25.9135	0.5286
beat	26.1224	1.0000
snare	26.1224	0.7668
hat	26.1224	0.6110
onset	26.1224	0.4276
kick	26.1457	0.7122
snare	26.2385	1.1384
hat	26.2385	0.4116
onset	26.2618	0.2033
kick	26.3546	0.3058
hat	26.3546	0.6705
beat	26.5636	1.0000
snare	26.5636	0.7792
hat	26.5636	0.5191
onset	26.5636	0.4256
kick	26.5868	0.4047
kick	26.6797	0.6941
onset	26.6797	0.4199
hat	26.7958	0.3272
kick	26.8190	0.3436
snare	26.8887	0.3078
beat	27.0048	1.0000
snare	27.0048	0.4950
hat	27.0048	0.3416
onset	27.0048	0.4597
kick	27.0512	0.2542
snare	27.0977	0.7879
hat	27.1209	0.3274
kick	27.1441	0.2506
onset	27.1906	0.2507
hat	27.2138	0.3901
kick	27.2370	0.2676
beat	27.4228	1.0000
snare	27.4228	0.4313
hat	27.4228	0.3906
onset	27.4228	0.3880
kick	27.4460	0.7583
onset	27.5389	0.4984
hat	27.6550	0.6419
beat	27.8639	1.0000
snare	27.8639	0.7402
hat	27.8639	0.6047
onset	27.8639	0.3981
kick	27.8872	0.6384
snare	27.9800	1.5029
hat	27.9800	0.3227
hat	28.0961	0.5977
beat	28.3051	1.0000
snare	28.3051	0.6429
hat	28.3051	0.8288
onset	28.3051	0.4623
kick	28.3283	0.5282
snare	28.4444	0.8264
kick	28.5141	0.4732
onset	28.5141	0.3861
beat	28.6302	1.0000
kick	28.6302	0.2636
onset	28.6302	0.1630
snare	28.7231	0.3477
onset	28.7927	0.1385
snare	28.8856	0.6009
onset	28.8856	0.2367
kick	28.9321	0.3044
onset	29.0017	0.1426
snare	29.0249	0.6040
hat	29.1410	0.1633
snare	29.1643	0.4165
beat	29.2107	1.0000
kick	29.2107	0.3197
onset	29.2107	0.2314
kick	29.3268	0.2806
onset	29.3268	0.1194
hat	29.3965	0.1440
snare	29.4197	0.4189
hat	29.5822	0.1050
snare	29.6054	0.2404
beat	29.6519	1.0000
kick	29.6519	0.2033
onset	29.6519	0.1233
hat	29.7215	0.1146
kick	29.7680	0.4933
hat	29.8376	0.1478
onset	29.8609	0.3192
beat	30.0234	1.0000
snare	30.0234	0.1965
hat	30.0234	0.1630
snare	30.1395	0.1978
kick	30.1627	0.4276
onset	30.2092	0.3232
snare	30.2556	0.1821
hat	30.2556	0.4331
kick	30.2788	0.3453
onset	30.2788	0.2155
beat	30.4646	1.0000
snare	30.4646	0.4770
hat	30.4646	0.4172
kick	30.4878	0.2313
snare	30.5807	0.2289
hat	30.5807	0.1848
kick	30.6039	0.3335
onset	30.6039	0.2830
hat	30.6968	0.4213
onset	30.6968	0.3046
snare	30.9058	0.4950
hat	30.9058	0.2918
beat	30.9290	1.0000
kick	30.9290	0.3631
onset	30.9290	0.1642
onset	31.0683	0.1469
kick	31.1147	0.2385
hat	31.1380	0.3322
beat	31.3005	1.0000
snare	31.3005	0.2699
onset	31.3005	0.1636
hat	31.3237	0.3297
kick	31.3934	0.1926
hat	31.4630	0.1809
kick	31.5095	0.3666
onset	31.5095	0.1393
hat	31.5559	0.3613
onset	31.6024	0.1241
snare	31.7649	0.7377
hat	31.7649	0.3370
